City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
268,Onega,RU,63.9061,38.1404,6.24,92,100,11.92,overcast clouds
269,Keti Bandar,PK,24.1447,67.4497,73.89,48,0,8.84,clear sky
270,Dortyol,TR,36.8616,36.2289,42.78,71,0,1.3,clear sky
271,Terekli-Mekteb,RU,44.1671,45.8698,35.71,72,100,17.87,light rain
272,Zyryanovsk,KZ,49.7386,84.2719,-3.59,92,67,1.01,broken clouds
273,Juegang,CN,32.3174,121.1855,38.84,45,0,16.13,clear sky
274,Arraial Do Cabo,BR,-22.9661,-42.0278,75.49,88,97,21.16,overcast clouds
275,Irtyshskiy,RU,58.3333,68.1333,20.14,94,100,5.86,overcast clouds
276,Tura,IN,25.5198,90.2201,57.34,88,44,3.38,scattered clouds
277,Sinop,TR,41.7711,34.8709,20.46,82,52,9.55,broken clouds
278,Vila Velha,BR,-20.3297,-40.2925,75.15,96,20,3.44,few clouds
279,Dingle,PH,10.9995,122.6711,82.47,70,83,18.01,broken clouds
280,Bahir Dar,ET,11.5936,37.3908,63.91,57,15,4.38,few clouds
281,Arlit,NE,18.7369,7.3853,53.26,26,0,4.72,clear sky
282,Elgin,US,42.0373,-88.2812,12.56,80,75,4.0,broken clouds
283,Tondol,PH,16.3104,120.0131,80.46,65,58,4.81,broken clouds
284,Batagay,RU,67.6333,134.6333,-31.2,97,61,1.57,broken clouds
285,Atar,MR,20.5169,-13.0499,66.83,12,21,5.61,few clouds
286,Touros,BR,-5.1989,-35.4608,79.7,74,5,11.48,clear sky
287,Krasnoselkup,RU,65.7,82.4667,16.56,95,100,5.17,light snow
288,Sabang,ID,5.8933,95.3214,81.61,77,62,18.45,broken clouds
289,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,19.57,light rain
290,Changli,CN,39.7042,119.1506,30.99,23,0,16.64,clear sky
291,Vagur,FO,61.4732,-6.8119,37.22,72,100,15.37,overcast clouds
292,Taltal,CL,-25.4,-70.4833,67.21,73,0,2.46,clear sky
293,Sosva,RU,59.1766,61.8558,21.83,96,100,5.64,light snow
294,Kushima,JP,31.4583,131.2333,48.24,50,53,15.95,broken clouds
295,Urumqi,CN,43.801,87.6005,0.55,85,100,2.24,fog
296,Larnaca,CY,34.9167,33.6292,52.21,87,40,4.61,scattered clouds
297,Tigzirt,DZ,36.8886,4.1198,55.78,57,76,2.91,broken clouds
298,Ukiah,US,39.1502,-123.2078,51.39,69,0,0.0,clear sky
299,Montevideo,UY,-34.8335,-56.1674,67.82,88,40,5.75,scattered clouds
300,Zdvinsk,RU,54.7021,78.661,10.83,84,97,9.19,overcast clouds
301,Khatanga,RU,71.9667,102.5,-35.09,100,87,2.71,overcast clouds
302,Yalutorovsk,RU,56.6536,66.3006,22.93,83,100,10.16,overcast clouds
303,San Patricio,US,28.017,-97.5169,39.81,77,6,12.33,clear sky
304,Siocon,PH,7.7061,122.1353,86.4,66,88,10.2,overcast clouds
305,Liverpool,GB,53.4106,-2.9779,42.66,83,69,1.99,broken clouds
306,Freeport,US,40.6576,-73.5832,30.78,80,100,3.0,light snow
