City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Kimparana,ML,2022-02-05 03:11:35,12.8347,-4.9244,68.67,14,9,9.19
199,Henties Bay,NA,2022-02-05 03:05:25,-22.116,14.2845,65.86,84,100,4.21
200,Maceio,BR,2022-02-05 03:11:35,-9.6658,-35.7353,74.64,88,20,3.44
201,Ahipara,NZ,2022-02-05 03:05:59,-35.1667,173.1667,71.1,96,91,14.23
202,San Andres,CO,2022-02-05 03:11:36,12.5847,-81.7006,80.62,74,20,9.22
203,Nesebar,BG,2022-02-05 03:11:36,42.7833,27.7333,29.28,85,11,6.98
204,Sitka,US,2022-02-05 03:05:11,57.0531,-135.33,42.69,81,100,12.66
205,Malyn,UA,2022-02-05 03:11:37,50.7723,29.2383,22.91,96,100,8.99
206,Tygda,RU,2022-02-05 03:11:37,53.1167,126.3333,5.63,58,100,7.56
207,Luba,GQ,2022-02-05 03:11:37,3.4568,8.5547,79.27,84,37,5.12
208,Port Lincoln,AU,2022-02-05 03:11:38,-34.7333,135.8667,73.13,59,6,10.67
209,Asau,RO,2022-02-05 03:05:53,46.4333,26.4,22.28,74,41,6.15
210,Port Hardy,CA,2022-02-05 03:05:00,50.6996,-127.4199,45.75,92,100,9.08
211,Natitingou,BJ,2022-02-05 03:11:38,10.3042,1.3796,69.46,16,2,8.7
212,Saldanha,ZA,2022-02-05 03:05:52,-33.0117,17.9442,60.85,73,0,9.33
213,Seoul,KR,2022-02-05 03:11:38,37.5683,126.9778,27.91,40,6,12.12
214,Vila Do Maio,CV,2022-02-05 03:11:39,15.1333,-23.2167,68.79,80,0,17.2
215,Sumbe,AO,2022-02-05 03:11:39,-11.2061,13.8437,74.52,81,100,5.46
216,Batagay-Alyta,RU,2022-02-05 03:11:39,67.8006,130.4114,-21.03,96,56,0.96
217,Ulladulla,AU,2022-02-05 03:04:55,-35.35,150.4667,70.77,58,36,14.25
218,Tiksi,RU,2022-02-05 03:04:53,71.6872,128.8694,-22.23,98,69,7.36
219,Northam,GB,2022-02-05 03:06:30,51.0333,-4.2167,45.61,75,8,11.86
220,Coolum Beach,AU,2022-02-05 03:11:40,-26.5333,153.1,79.11,66,81,3.0
221,Sibolga,ID,2022-02-05 03:11:40,1.7427,98.7792,81.63,70,100,0.76
222,Guntakal,IN,2022-02-05 03:11:40,15.1667,77.3833,72.91,30,11,4.88
223,Leningradskiy,RU,2022-02-05 03:05:14,69.3833,178.4167,-17.7,93,52,7.67
224,Tezu,IN,2022-02-05 03:11:41,27.9167,96.1667,55.27,98,100,2.55
225,Sao Francisco Do Sul,BR,2022-02-05 03:11:41,-26.2433,-48.6381,79.11,95,98,4.94
226,Arvika,SE,2022-02-05 03:11:42,59.6553,12.5852,30.9,81,9,10.29
227,Sao Felix Do Xingu,BR,2022-02-05 03:11:42,-6.6447,-51.995,71.83,94,67,0.65
228,Nishihara,JP,2022-02-05 03:01:09,26.1842,127.7558,61.88,55,75,23.02
229,Gazanjyk,TM,2022-02-05 03:11:42,39.2446,55.5154,46.63,49,0,2.75
230,Talnakh,RU,2022-02-05 03:05:44,69.4865,88.3972,-7.64,97,92,4.7
231,Hambantota,LK,2022-02-05 03:06:53,6.1241,81.1185,75.54,100,81,2.3
232,Manuk Mangkaw,PH,2022-02-05 03:11:43,4.8,119.85,80.33,80,100,15.19
233,Matay,EG,2022-02-05 03:11:43,28.419,30.7792,47.71,78,3,5.48
234,Longyearbyen,SJ,2022-02-05 03:06:52,78.2186,15.6401,13.84,57,20,26.46
235,Beisfjord,NO,2022-02-05 03:11:43,68.3751,17.5988,23.05,78,30,10.92
